Number,Time
1,0.5
2,1
3,1.5
4,2
5,2.5
6,3
7,3.5
8,4
9,4.5
10,5
11,5.5
12,6
13,6.5
14,7
15,7.5
16,8
17,8.5
18,9
19,9.5
20,10
21,10.5
22,11
23,11.5
24,12
25,12.5
26,13
27,13.5
28,14
29,14.5
30,15
31,15.5
32,16
33,16.5
34,17
35,17.5
36,18
37,18.5
38,19
39,19.5
40,20
41,20.5
42,21
43,21.5
44,22
45,22.5
46,23
47,23.5
48,24
49,24.5
50,25
51,25.5
52,26
53,26.5
54,27
55,27.5
56,28
57,28.5
58,29
59,29.5
60,30
61,30.5
62,31
63,31.5
64,32
65,32.5
66,33
67,33.5
68,34
69,34.5
70,35
71,35.5
72,36
73,36.5
74,37
75,37.5
76,38
77,38.5
78,39
79,39.5
80,40
81,40.5
82,41
83,41.5
84,42
85,42.5
86,43
87,43.5
88,44
89,44.5
90,45
91,45.5
92,46
93,46.5
94,47
95,47.5
96,48
97,48.5
98,49
99,49.5
100,50
101,50.6
102,51.2
103,51.8
104,52.4
105,53
106,53.6
107,54.2
108,54.8
109,55.4
110,56
111,56.6
112,57.2
113,57.8
114,58.4
115,59
116,59.6
117,60.2
118,60.8
119,61.4
120,62
121,62.7
122,63.4
123,64.1
124,64.8
125,65.5
126,66.2
127,66.9
128,67.6
129,68.3
130,69
131,69.7
132,70.4
133,71.1
134,71.8
135,72.5
136,73.2
137,73.9
138,74.6
139,75.3
140,76
141,76.7
142,77.4
143,78.1
144,78.8
145,79.5
146,80.2
147,80.9
148,81.6
149,82.3
150,83
151,83.7
152,84.4
153,85.1
154,85.8
155,86.5
156,87.2
157,87.9
158,88.6
159,89.3
160,90
161,90.7
162,91.4
163,92.1
164,92.8
165,93.5
166,94.2
167,94.9
168,95.6
169,96.3
170,97
171,97.7
172,98.4
173,99.1
174,99.8
175,100.5
176,101.2
177,101.9
178,102.6
179,103.3
180,104
181,104.7
182,105.4
183,106.1
184,106.8
185,107.5
186,108.2
187,108.9
188,109.6
189,110.3
190,111
191,111.7
192,112.4
193,113.1
194,113.8
195,114.5
196,115.2
197,115.9
198,116.6
199,117.3
200,118
201,118.7
202,119.4
203,120.1
204,120.8
205,121.5
206,122.2
207,122.9
208,123.6
209,124.3
210,125
211,125.7
212,126.4
213,127.1
214,127.8
215,128.5
216,129.2
217,129.9
218,130.6
219,131.3
220,132
221,132.7
222,133.4
223,134.1
224,134.8
225,135.5
226,136.2
227,136.9
228,137.6
229,138.3
230,139
231,139.7
232,140.4
233,141.1
234,141.8
235,142.5
236,143.2
237,143.9
238,144.6
239,145.3
240,146
241,146.7
242,147.4
243,148.1
244,148.8
245,149.5
246,150.2
247,150.9
248,151.6
249,152.3
250,153
251,153.7
252,154.4
253,155.1
254,155.8
255,156.5
256,157.2
257,157.9
258,158.6
259,159.3
260,160
261,160.7
262,161.4
263,162.1
264,162.8
265,163.5
266,164.2
267,164.9
268,165.6
269,166.3
270,167
271,167.7
272,168.4
273,169.1
274,169.8
275,170.5
276,171.2
277,171.9
278,172.6
279,173.3
280,174
281,174.7
282,175.4
283,176.1
284,176.8
285,177.5
286,178.2
287,178.9
288,179.6
289,180.3
290,181
291,181.7
292,182.4
293,183.1
294,183.8
295,184.5
296,185.2
297,185.9
298,186.6
299,187.3
300,188
301,188.7
302,189.4
303,190.1
304,190.8
305,191.5
306,192.2
307,192.9
308,193.6
309,194.3
310,195
311,195.7
312,196.4
313,197.1
314,197.8
315,198.5
316,199.2
317,199.9
318,200.6
319,201.3
320,202
321,202.7
322,203.4
323,204.1
324,204.8
325,205.5
326,206.2
327,206.9
328,207.6
329,208.3
330,209
331,209.7
332,210.4
333,211.1
334,211.8
335,212.5
336,213.2
337,213.9
338,214.6
339,215.3
340,216
341,216.7
342,217.4
343,218.1
344,218.8
345,219.5
346,220.2
347,220.9
348,221.6
349,222.3
350,223
351,223.7
352,224.4
353,225.1
354,225.8
355,226.5
356,227.2
357,227.9
358,228.6
359,229.3
360,230
361,230.7
362,231.4
363,232.1
364,232.8
365,233.5
366,234.2
367,234.9
368,235.6
369,236.3
370,237
371,237.7
372,238.4
373,239.1
374,239.8
375,240.5
376,241.2
377,241.9
378,242.6
379,243.3
380,244
381,244.7
382,245.4
383,246.1
384,246.8
385,247.5
386,248.2
387,248.9
388,249.6
389,250.3
390,251
391,251.7
392,252.4
393,253.1
394,253.8
395,254.5
396,255.2
397,255.9
398,256.6
399,257.3
400,258
401,258.7
402,259.4
403,260.1
404,260.8
405,261.5
406,262.2
407,262.9
408,263.6
409,264.3
410,265
411,265.7
412,266.4
413,267.1
414,267.8
415,268.5
416,269.2
417,269.9
418,270.6
419,271.3
420,272
421,272.7
422,273.4
423,274.1
424,274.8
425,275.5
426,276.2
427,276.9
428,277.6
429,278.3
430,279
431,279.7
432,280.4
433,281.1
434,281.8
435,282.5
436,283.2
437,283.9
438,284.6
439,285.3
440,286
441,286.7
442,287.4
443,288.1
444,288.8
445,289.5
446,290.2
447,290.9
448,291.6
449,292.3
450,293
451,293.7
452,294.4
453,295.1
454,295.8
455,296.5
456,297.2
457,297.9
458,298.6
459,299.3
460,300
461,300.7
462,301.4
463,302.1
464,302.8
465,303.5
466,304.2
467,304.9
468,305.6
469,306.3
470,307
471,307.7
472,308.4
473,309.1
474,309.8
475,310.5
476,311.2
477,311.9
478,312.6
479,313.3
480,314
481,314.7
482,315.4
483,316.1
484,316.8
485,317.5
486,318.2
487,318.9
488,319.6
489,320.3
490,321
491,321.7
492,322.4
493,323.1
494,323.8
495,324.5
496,325.2
497,325.9
498,326.6
499,327.3
500,328
501,328.7
502,329.4
503,330.1
504,330.8
505,331.5
506,332.2
507,332.9
508,333.6
509,334.3
510,335
511,335.7
512,336.4
513,337.1
514,337.8
515,338.5
516,339.2
517,339.9
518,340.6
519,341.3
520,342
521,342.7
522,343.4
523,344.1
524,344.8
525,345.5
526,346.2
527,346.9
528,347.6
529,348.3
530,349
531,349.7
532,350.4
533,351.1
534,351.8
535,352.5
536,353.2
537,353.9
538,354.6
539,355.3
540,356
541,356.7
542,357.4
543,358.1
544,358.8
545,359.5
546,360.2
547,360.9
548,361.6
549,362.3
550,363
551,363.7
552,364.4
553,365.1
554,365.8
555,366.5
556,367.2
557,367.9
558,368.6
559,369.3
560,370
561,370.7
562,371.4
563,372.1
564,372.8
565,373.5
566,374.2
567,374.9
568,375.6
569,376.3
570,377
571,377.7
572,378.4
573,379.1
574,379.8
575,380.5
576,381.2
577,381.9
578,382.6
579,383.3
580,384
581,384.7
582,385.4
583,386.1
584,386.8
585,387.5
586,388.2
587,388.9
588,389.6
589,390.3
590,391
591,391.7
592,392.4
593,393.1
594,393.8
595,394.5
596,395.2
597,395.9
598,396.6
599,397.3
600,398
601,398.7
602,399.4
603,400.1
604,400.8
605,401.5
606,402.2
607,402.9
608,403.6
609,404.3
610,405
611,405.7
612,406.4
613,407.1
614,407.8
615,408.5
616,409.2
617,409.9
618,410.6
619,411.3
620,412
621,412.7
622,413.4
623,414.1
624,414.8
625,415.5
626,416.2
627,416.9
628,417.6
629,418.3
630,419
631,419.7
632,420.4
633,421.1
634,421.8
635,422.5
636,423.2
637,423.9
638,424.6
639,425.3
640,426
641,426.7
642,427.4
643,428.1
644,428.8
645,429.5
646,430.2
647,430.9
648,431.6
649,432.3
650,433
651,433.7
652,434.4
653,435.1
654,435.8
655,436.5
656,437.2
657,437.9
658,438.6
659,439.3
660,440
661,440.7
662,441.4
663,442.1
664,442.8
665,443.5
666,444.2
667,444.9
668,445.6
669,446.3
670,447
671,447.7
672,448.4
673,449.1
674,449.8
675,450.5
676,451.2
677,451.9
678,452.6
679,453.3
680,454
681,454.7
682,455.4
683,456.1
684,456.8
685,457.5
686,458.2
687,458.9
688,459.6
689,460.3
690,461
691,461.7
692,462.4
693,463.1
